"","state_code","year","school_code","people","acs_state_name","totalpop","prop"
"431",11,2013,6,6188,"georgia",633167,0.977309303864541
"432",11,2013,7,6639,"georgia",633167,1.04853853722636
"433",11,2013,8,5512,"georgia",633167,0.870544421929759
"434",11,2013,9,6906,"georgia",633167,1.09070750686628
"435",11,2013,10,7664,"georgia",633167,1.21042315850321
"436",11,2013,11,10383,"georgia",633167,1.63985172948053
"437",11,2013,12,11721,"georgia",633167,1.85117038632778
"438",11,2013,13,15033,"georgia",633167,2.37425513332186
"439",11,2013,14,19078,"georgia",633167,3.01310712655587
"440",11,2013,15,7601,"georgia",633167,1.20047317690278
"441",11,2013,16,87751,"georgia",633167,13.8590608796731
"442",11,2013,17,12543,"georgia",633167,1.98099395578102
"443",11,2013,18,22850,"georgia",633167,3.60884253285468
"444",11,2013,19,70732,"georgia",633167,11.1711444216139
"445",11,2013,20,15628,"georgia",633167,2.46822718177037
"446",11,2013,21,121067,"georgia",633167,19.1208638479264
"447",11,2013,22,83565,"georgia",633167,13.1979398800001
"448",11,2013,23,35735,"georgia",633167,5.64385067446661
"449",11,2013,24,16947,"georgia",633167,2.6765450505159
"450",11,2013,NA,23806,"georgia",633167,3.75982955523582
"451",12,2008,1,588408,"hawaii",18328340,3.21037257056558
"452",12,2008,2,263908,"hawaii",18328340,1.4398903555914
"453",12,2008,3,218155,"hawaii",18328340,1.19026054732725
"454",12,2008,4,227420,"hawaii",18328340,1.24081067898129
"455",12,2008,5,250314,"hawaii",18328340,1.36572106366425
"456",12,2008,6,281989,"hawaii",18328340,1.53854086076535
"457",12,2008,7,268819,"hawaii",18328340,1.46668492618535
"458",12,2008,8,279084,"hawaii",18328340,1.52269108931851
"459",12,2008,9,401448,"hawaii",18328340,2.19031292522945
"460",12,2008,10,300397,"hawaii",18328340,1.63897548823298
"461",12,2008,11,430781,"hawaii",18328340,2.35035469660646
"462",12,2008,12,460945,"hawaii",18328340,2.51493043014261
"463",12,2008,13,578202,"hawaii",18328340,3.15468831328969
"464",12,2008,14,591867,"hawaii",18328340,3.22924498345186
"465",12,2008,15,331312,"hawaii",18328340,1.80764870140995
"466",12,2008,16,3742792,"hawaii",18328340,20.4207909717956
"467",12,2008,17,617775,"hawaii",18328340,3.37059984701288
"468",12,2008,18,975274,"hawaii",18328340,5.32112564476652
"469",12,2008,19,2258935,"hawaii",18328340,12.3248204692842
"470",12,2008,20,1181899,"hawaii",18328340,6.44847814913953
"471",12,2008,21,2244640,"hawaii",18328340,12.2468264992902
"472",12,2008,22,780853,"hawaii",18328340,4.26035854856468
"473",12,2008,23,249465,"hawaii",18328340,1.36108889293848
"474",12,2008,24,124592,"hawaii",18328340,0.679777874046422
"475",12,2008,NA,679066,"hawaii",18328340,3.70500547239957
